RPM,Velocity (m/s),Velocity (mph),J,Efficiency,Ct,Cp,Power (W),Thrust (N),Thrust/Power,Source
1000,0,0,0,0,0.0824,0.0303,5.814,1.869,32.782,apc
1000,0,0,0,0,0.0824,0.0303,5.9656,1.8682524,31.934545765973674,apc
1000,0.1877568,0.42,0.0222,0.0588,0.081,0.0306,5.869,1.838,31.929,apc
1000,0.3755136,0.84,0.0444,0.1145,0.0795,0.0308,5.919,1.804,31.079,apc
1000,0.5632704,1.26,0.0666,0.1671,0.0779,0.0311,5.962,1.768,30.235,apc
1000,0.7510272,1.68,0.0887,0.2166,0.0762,0.0312,5.998,1.729,29.397,apc
1000,0.9387840000000001,2.1,0.1109,0.2631,0.0744,0.0314,6.026,1.688,28.566,apc
1000,1.1265408,2.52,0.1331,0.3066,0.0725,0.0315,6.043,1.644,27.743,apc
1000,1.3142976,2.94,0.1553,0.3472,0.0704,0.0315,6.049,1.598,26.928,apc
1000,1.5020544,3.36,0.1775,0.3849,0.0683,0.0315,6.043,1.548,26.121,apc
1000,1.6898111999999998,3.78,0.1997,0.4198,0.0659,0.0314,6.023,1.496,25.322,apc
1000,1.8775680000000001,4.2,0.2218,0.4518,0.0635,0.0312,5.988,1.44,24.528,apc
1000,2.0653248,4.62,0.244,0.481,0.0609,0.0309,5.936,1.382,23.738,apc
1000,2.2530816,5.04,0.2662,0.5073,0.0582,0.0305,5.866,1.32,22.951,apc
1000,2.4408384,5.46,0.2884,0.5307,0.0554,0.0301,5.778,1.256,22.162,apc
1000,2.6285952,5.88,0.3106,0.5511,0.0524,0.0295,5.671,1.188,21.369,apc
1000,2.8163519999999997,6.3,0.3328,0.5683,0.0493,0.0289,5.545,1.118,20.568,apc
1000,3.0041088,6.72,0.355,0.5821,0.0461,0.0281,5.401,1.046,19.752,apc
1000,3.1918656,7.14,0.3771,0.5923,0.0428,0.0273,5.238,0.972,18.915,apc
1000,3.3796223999999997,7.56,0.3993,0.5985,0.0395,0.0263,5.058,0.895,18.05,apc
1000,3.5673792,7.98,0.4215,0.6002,0.036,0.0253,4.859,0.817,17.149,apc
1000,3.7551360000000003,8.4,0.4437,0.5968,0.0325,0.0242,4.643,0.738,16.199,apc
1000,3.9428928,8.82,0.4659,0.5874,0.029,0.023,4.41,0.657,15.186,apc
1000,4.1306496,9.24,0.4881,0.5711,0.0253,0.0217,4.16,0.575,14.093,apc
1000,4.3184064,9.66,0.5102,0.5462,0.0217,0.0203,3.894,0.492,12.893,apc
1000,4.5061632,10.08,0.5324,0.5108,0.018,0.0188,3.613,0.409,11.555,apc
1000,4.69392,10.5,0.5546,0.4619,0.0144,0.0173,3.317,0.326,10.032,apc
1000,4.8816768,10.92,0.5768,0.3954,0.0107,0.0157,3.008,0.244,8.255,apc
1000,5.0694336,11.34,0.599,0.3047,0.0071,0.014,2.688,0.161,6.126,apc
1000,5.2571904,11.76,0.6212,0.1797,0.0036,0.0123,2.358,0.081,3.485,apc
1000,5.4449472,12.18,0.6434,0.0031,0.0001,0.0105,2.02,0.001,0.059,apc
2000,0,0,0,0,0.0828,0.028,42.995,7.507,17.805,apc
2000,0,0,0,0,0.0828,0.028,43.250600000000006,7.50859536,17.702960017393615,apc
2000,0.3755136,0.84,0.0223,0.0641,0.0814,0.0283,43.48,7.381,17.31,apc
2000,0.7554976,1.69,0.0446,0.1246,0.0799,0.0286,43.926,7.246,16.82,apc
2000,1.1310111999999999,2.53,0.0669,0.1815,0.0783,0.0289,44.32,7.1,16.337,apc
2000,1.5109952,3.38,0.0892,0.2349,0.0766,0.0291,44.655,6.945,15.86,apc
2000,1.8865087999999999,4.22,0.1115,0.2849,0.0747,0.0292,44.918,6.779,15.39,apc
2000,2.2664928,5.07,0.1338,0.3317,0.0728,0.0294,45.1,6.603,14.929,apc
2000,2.6420064,5.91,0.1561,0.3752,0.0707,0.0294,45.188,6.415,14.476,apc
2000,3.0219904,6.76,0.1784,0.4156,0.0685,0.0294,45.173,6.215,14.03,apc
2000,3.3975039999999996,7.6,0.2007,0.453,0.0662,0.0293,45.043,6.004,13.592,apc
2000,3.7774879999999995,8.45,0.223,0.4874,0.0637,0.0292,44.786,5.781,13.162,apc
2000,4.1530016,9.29,0.2453,0.5188,0.0611,0.0289,44.391,5.545,12.737,apc
2000,4.5329856,10.14,0.2676,0.5474,0.0584,0.0285,43.845,5.296,12.318,apc
2000,4.9084992000000005,10.98,0.2899,0.573,0.0555,0.0281,43.142,5.036,11.903,apc
2000,5.2884832,11.83,0.3122,0.5956,0.0525,0.0275,42.28,4.764,11.49,apc
