RPM,Velocity (m/s),Velocity (mph),J,Efficiency,Ct,Cp,Power (W),Thrust (N),Thrust/Power,Source
1000,0,0,0,0,0.1333,0.108,0.648,0.189,29.74,apc
1000,0,0,0,0,0.1333,0.108,0.7457,0.18682524,25.54763661277894,apc
1000,0.21904959999999998,0.49,0.0522,0.0637,0.1331,0.109,0.654,0.189,29.419,apc
1000,0.4425696,0.99,0.1043,0.1258,0.133,0.1103,0.662,0.188,29.045,apc
1000,0.6616192,1.48,0.1565,0.1859,0.1329,0.1119,0.672,0.188,28.613,apc
1000,0.8851392,1.98,0.2087,0.2436,0.133,0.1139,0.684,0.189,28.117,apc
1000,1.1041888,2.47,0.2608,0.2984,0.1331,0.1164,0.698,0.189,27.556,apc
1000,1.3232384,2.96,0.313,0.35,0.1333,0.1192,0.715,0.189,26.932,apc
1000,1.5467583999999999,3.46,0.3652,0.3979,0.1334,0.1224,0.735,0.189,26.248,apc
1000,1.765808,3.95,0.4173,0.442,0.1335,0.126,0.756,0.189,25.512,apc
1000,1.989328,4.45,0.4695,0.4821,0.1334,0.1299,0.78,0.189,24.733,apc
1000,2.2083776,4.94,0.5217,0.5181,0.1331,0.134,0.804,0.189,23.921,apc
1000,2.4274272,5.43,0.5738,0.55,0.1325,0.1383,0.83,0.188,23.088,apc
1000,2.6509471999999996,5.93,0.626,0.5781,0.1315,0.1423,0.854,0.186,22.246,apc
1000,2.8699968,6.42,0.6782,0.6028,0.1298,0.146,0.876,0.184,21.409,apc
1000,3.0935167999999997,6.92,0.7303,0.6243,0.1273,0.1489,0.893,0.18,20.592,apc
1000,3.3125664,7.41,0.7825,0.6435,0.1237,0.1505,0.903,0.175,19.809,apc
1000,3.531616,7.9,0.8347,0.6608,0.119,0.1504,0.902,0.169,19.069,apc
1000,3.7551360000000003,8.4,0.8868,0.6761,0.1131,0.1484,0.89,0.16,18.364,apc
1000,3.9741856,8.89,0.939,0.6892,0.1062,0.1447,0.868,0.151,17.68,apc
1000,4.1977056,9.39,0.9912,0.6995,0.0984,0.1394,0.837,0.139,16.998,apc
1000,4.4167552,9.88,1.0433,0.7059,0.0899,0.1329,0.798,0.127,16.297,apc
1000,4.6358048,10.37,1.0955,0.7076,0.0809,0.1253,0.752,0.115,15.558,apc
1000,4.8593247999999996,10.87,1.1477,0.703,0.0716,0.1168,0.701,0.101,14.756,apc
1000,5.0783743999999995,11.36,1.1998,0.6903,0.0618,0.1075,0.645,0.088,13.857,apc
1000,5.301894399999999,11.86,1.252,0.6661,0.0518,0.0975,0.585,0.073,12.815,apc
1000,5.520944,12.35,1.3042,0.6259,0.0416,0.0868,0.521,0.059,11.56,apc
1000,5.7399936,12.84,1.3563,0.5619,0.0313,0.0755,0.453,0.044,9.979,apc
1000,5.9635136,13.34,1.4085,0.4601,0.0208,0.0637,0.382,0.03,7.869,apc
1000,6.1825632,13.83,1.4607,0.2924,0.0103,0.0515,0.309,0.015,4.822,apc
1000,6.4060832,14.33,1.5128,-0.008,-0.0002,0.0389,0.233,0,-0.127,apc
2000,0,0,0,0,0.1339,0.101,4.847,0.759,15.967,apc
2000,0,0,0,0,0.1339,0.101,5.2199,0.76064562,14.85933966253469,apc
2000,0.4425696,0.99,0.0525,0.0689,0.1337,0.102,4.895,0.758,15.788,apc
2000,0.8896096,1.99,0.1051,0.1359,0.1336,0.1033,4.958,0.757,15.578,apc
2000,1.3321792,2.98,0.1576,0.2006,0.1336,0.105,5.039,0.758,15.333,apc
2000,1.7792192,3.98,0.2101,0.2626,0.1338,0.107,5.138,0.758,15.051,apc
2000,2.2217887999999997,4.97,0.2627,0.3213,0.1339,0.1095,5.257,0.759,14.731,apc
2000,2.6688288,5.97,0.3152,0.3762,0.1342,0.1124,5.396,0.761,14.376,apc
2000,3.1113984,6.96,0.3677,0.4271,0.1344,0.1157,5.554,0.762,13.987,apc
2000,3.5584384,7.96,0.4203,0.4735,0.1345,0.1194,5.73,0.763,13.57,apc
2000,4.001008,8.95,0.4728,0.5154,0.1345,0.1234,5.923,0.763,13.13,apc
2000,4.448048,9.95,0.5254,0.5528,0.1343,0.1276,6.126,0.761,12.672,apc
2000,4.8906176,10.94,0.5779,0.5856,0.1337,0.1319,6.334,0.758,12.205,apc
2000,5.3376576,11.94,0.6304,0.6143,0.1327,0.1361,6.536,0.752,11.736,apc
2000,5.7802272,12.93,0.683,0.6392,0.131,0.1399,6.717,0.743,11.273,apc
2000,6.2272672,13.93,0.7355,0.6609,0.1284,0.1429,6.86,0.728,10.823,apc
2000,6.6698368,14.92,0.788,0.6801,0.1248,0.1446,6.94,0.707,10.395,apc
2000,7.1168768,15.92,0.8406,0.6975,0.1199,0.1445,6.937,0.68,9.993,apc
2000,7.5594464,16.91,0.8931,0.713,0.1138,0.1426,6.845,0.645,9.615,apc
2000,8.0064864,17.91,0.9456,0.7265,0.1067,0.1389,6.668,0.605,9.252,apc
2000,8.449055999999999,18.9,0.9982,0.7373,0.0988,0.1337,6.418,0.56,8.897,apc
2000,8.896096,19.9,1.0507,0.7449,0.0902,0.1272,6.105,0.511,8.538,apc
2000,9.3386656,20.89,1.1032,0.7482,0.0811,0.1195,5.738,0.46,8.168,apc
2000,9.7857056,21.89,1.1558,0.746,0.0716,0.1109,5.324,0.406,7.773,apc
2000,10.228275199999999,22.88,1.2083,0.7363,0.0618,0.1014,4.869,0.35,7.339,apc
2000,10.6753152,23.88,1.2609,0.7162,0.0518,0.0911,4.375,0.294,6.841,apc
2000,11.1178848,24.87,1.3134,0.681,0.0416,0.0802,3.848,0.236,6.245,apc
2000,11.5649248,25.87,1.3659,0.6224,0.0312,0.0685,3.29,0.177,5.488,apc
2000,12.007494399999999,26.86,1.4185,0.5243,0.0208,0.0563,2.705,0.118,4.452,apc
2000,12.4545344,27.86,1.471,0.3508,0.0104,0.0437,2.097,0.059,2.872,apc
2000,12.897104,28.85,1.5235,0.0011,0,0.0306,1.469,0,0.009,apc
3000,0,0,0,0,0.1341,0.0979,15.862,1.711,10.998,apc
3000,0,0,0,0,0.1341,0.0979,15.659700000000003,1.7125647000000002,11.151746140498744,apc
3000,0.67056,1.5,0.0527,0.0714,0.1339,0.0989,16.025,1.709,10.872,apc
3000,1.34112,3,0.1055,0.1409,0.1339,0.1002,16.24,1.708,10.724,apc
3000,2.0072096,4.49,0.1582,0.2079,0.1339,0.1019,16.515,1.709,10.551,apc
3000,2.6777696,5.99,0.2109,0.2719,0.1341,0.104,16.853,1.711,10.352,apc
3000,3.3483296,7.49,0.2636,0.3325,0.1343,0.1065,17.257,1.714,10.126,apc
3000,4.0188896,8.99,0.3164,0.3891,0.1346,0.1094,17.73,1.717,9.874,apc
3000,4.6894496,10.49,0.3691,0.4413,0.1348,0.1128,18.27,1.72,9.599,apc
