RPM,Velocity (m/s),Velocity (mph),J,Efficiency,Ct,Cp,Power (W),Thrust (N),Thrust/Power,Source
1000,0,0,0,0,0.1231,0.0702,0.679,0.255,38.384,apc
1000,0,0,0,0,0.1231,0.0702,0.7457,0.25354854,34.67179254591428,apc
1000,0.1698752,0.38,0.0364,0.0624,0.1224,0.0714,0.69,0.254,37.529,apc
1000,0.3397504,0.76,0.0729,0.1219,0.1216,0.0727,0.703,0.252,36.64,apc
1000,0.5096255999999999,1.14,0.1093,0.1783,0.1208,0.074,0.715,0.251,35.723,apc
1000,0.6795008,1.52,0.1457,0.2315,0.1198,0.0754,0.729,0.249,34.785,apc
1000,0.8493759999999999,1.9,0.1822,0.2815,0.1186,0.0768,0.742,0.246,33.833,apc
1000,1.0192511999999998,2.28,0.2186,0.3282,0.1173,0.0782,0.755,0.243,32.872,apc
1000,1.1891264000000001,2.66,0.255,0.3717,0.1158,0.0795,0.768,0.24,31.912,apc
1000,1.3590016,3.04,0.2915,0.412,0.114,0.0807,0.78,0.237,30.956,apc
1000,1.5288768,3.42,0.3279,0.4494,0.112,0.0817,0.79,0.232,30.011,apc
1000,1.6987519999999998,3.8,0.3643,0.4838,0.1096,0.0825,0.798,0.227,29.079,apc
1000,1.8641568,4.17,0.4008,0.5155,0.1069,0.0831,0.803,0.222,28.165,apc
1000,2.034032,4.55,0.4372,0.5445,0.1038,0.0834,0.806,0.215,27.27,apc
1000,2.2039071999999997,4.93,0.4736,0.5709,0.1003,0.0833,0.805,0.208,26.393,apc
1000,2.3737823999999996,5.31,0.5101,0.5947,0.0964,0.0827,0.799,0.2,25.531,apc
1000,2.5436576,5.69,0.5465,0.616,0.0921,0.0817,0.789,0.191,24.682,apc
1000,2.7135328000000003,6.07,0.5829,0.6346,0.0873,0.0802,0.775,0.181,23.839,apc
1000,2.883408,6.45,0.6194,0.6503,0.0821,0.0782,0.755,0.17,22.991,apc
1000,3.0532832,6.83,0.6558,0.6626,0.0764,0.0756,0.731,0.159,22.126,apc
1000,3.2231584,7.21,0.6922,0.671,0.0704,0.0726,0.701,0.146,21.227,apc
1000,3.3930336,7.59,0.7287,0.6747,0.064,0.0691,0.668,0.133,20.277,apc
1000,3.5629087999999998,7.97,0.7651,0.6726,0.0573,0.0652,0.63,0.119,19.252,apc
1000,3.7327839999999997,8.35,0.8015,0.6633,0.0505,0.061,0.589,0.105,18.121,apc
1000,3.9026592,8.73,0.838,0.6447,0.0434,0.0565,0.546,0.09,16.847,apc
