RPM,Velocity (m/s),Velocity (mph),J,Efficiency,Ct,Cp,Power (W),Thrust (N),Thrust/Power,Source
1000,0,0,0,0,0.1078,0.0551,0.823,0.317,39.27,apc
1000,0,0,0,0,0.1078,0.0551,0.7457,0.31582361999999997,43.18767141684059,apc
1000,0.1296416,0.29,0.0256,0.049,0.1061,0.0555,0.829,0.312,38.361,apc
1000,0.2592832,0.58,0.0513,0.0956,0.1044,0.0559,0.835,0.307,37.444,apc
1000,0.3889248,0.87,0.0769,0.1399,0.1024,0.0563,0.841,0.301,36.522,apc
1000,0.5230368,1.17,0.1026,0.1819,0.1004,0.0566,0.845,0.295,35.598,apc
1000,0.6526784,1.46,0.1282,0.2214,0.0982,0.0568,0.849,0.289,34.67,apc
1000,0.78232,1.75,0.1538,0.2586,0.0958,0.057,0.851,0.281,33.742,apc
1000,0.9119616,2.04,0.1795,0.2934,0.0932,0.057,0.851,0.274,32.811,apc
1000,1.0416032,2.33,0.2051,0.3257,0.0905,0.057,0.851,0.266,31.879,apc
1000,1.1712448,2.62,0.2307,0.3557,0.0875,0.0568,0.848,0.257,30.945,apc
1000,1.3008864,2.91,0.2564,0.3833,0.0844,0.0565,0.843,0.248,30.007,apc
1000,1.430528,3.2,0.282,0.4083,0.0811,0.056,0.837,0.238,29.063,apc
1000,1.56464,3.5,0.3077,0.4308,0.0776,0.0554,0.828,0.228,28.11,apc
1000,1.6942816,3.79,0.3333,0.4507,0.0739,0.0547,0.816,0.217,27.146,apc
1000,1.8239232,4.08,0.3589,0.4679,0.0701,0.0538,0.803,0.206,26.167,apc
1000,1.9535648,4.37,0.3846,0.4822,0.0661,0.0527,0.787,0.194,25.167,apc
1000,2.0832064,4.66,0.4102,0.4934,0.0619,0.0515,0.769,0.182,24.142,apc
1000,2.212848,4.95,0.4358,0.5012,0.0577,0.0502,0.749,0.17,23.085,apc
1000,2.3424896,5.24,0.4615,0.5055,0.0533,0.0487,0.726,0.157,21.986,apc
1000,2.4766016,5.54,0.4871,0.5056,0.0488,0.047,0.702,0.143,20.836,apc
1000,2.6062432,5.83,0.5128,0.5013,0.0442,0.0452,0.675,0.13,19.623,apc
1000,2.7358848,6.12,0.5384,0.4916,0.0395,0.0433,0.646,0.116,18.329,apc
1000,2.8655264,6.41,0.564,0.4759,0.0348,0.0412,0.615,0.102,16.935,apc
1000,2.995168,6.7,0.5897,0.4528,0.0299,0.039,0.582,0.088,15.413,apc
1000,3.1248096,6.99,0.6153,0.4208,0.0251,0.0366,0.547,0.074,13.727,apc
1000,3.2544512,7.28,0.6409,0.3776,0.0201,0.0341,0.51,0.059,11.827,apc
1000,3.3840928,7.57,0.6666,0.3203,0.0151,0.0315,0.47,0.044,9.646,apc
1000,3.5182048,7.87,0.6922,0.2442,0.0101,0.0287,0.429,0.03,7.082,apc
1000,3.6478464,8.16,0.7179,0.1427,0.0051,0.0259,0.386,0.015,3.989,apc
1000,3.7774879999999995,8.45,0.7435,0.0047,0.0001,0.0228,0.341,0,0.127,apc
2000,0,0,0,0,0.1083,0.048,5.739,1.274,22.631,apc
2000,0,0,0,0,0.1083,0.048,5.9656,1.27219092,21.74590497397255,apc
2000,0.2637536,0.59,0.0259,0.0568,0.1067,0.0486,5.802,1.255,22.048,apc
2000,0.5275072,1.18,0.0517,0.1107,0.1049,0.0491,5.861,1.234,21.466,apc
2000,0.7867904,1.76,0.0776,0.1615,0.103,0.0495,5.913,1.211,20.887,apc
2000,1.050544,2.35,0.1035,0.2094,0.1009,0.0499,5.958,1.187,20.311,apc
2000,1.3142976,2.94,0.1293,0.2544,0.0987,0.0502,5.995,1.161,19.74,apc
2000,1.5780512,3.53,0.1552,0.2965,0.0963,0.0504,6.022,1.132,19.174,apc
2000,1.8418048,4.12,0.1811,0.3358,0.0937,0.0505,6.037,1.102,18.614,apc
2000,2.101088,4.7,0.207,0.3724,0.091,0.0506,6.039,1.069,18.059,apc
2000,2.3648416,5.29,0.2328,0.4062,0.088,0.0504,6.026,1.035,17.51,apc
2000,2.6285952,5.88,0.2587,0.4373,0.0849,0.0502,5.997,0.998,16.966,apc
2000,2.8923487999999997,6.47,0.2846,0.4657,0.0815,0.0498,5.95,0.958,16.425,apc
2000,3.1561024,7.06,0.3104,0.4914,0.078,0.0493,5.884,0.917,15.888,apc
2000,3.4153856,7.64,0.3363,0.5144,0.0743,0.0485,5.799,0.873,15.351,apc
2000,3.6791392000000003,8.23,0.3622,0.5346,0.0704,0.0477,5.694,0.827,14.814,apc
2000,3.9428928,8.82,0.388,0.5519,0.0663,0.0466,5.57,0.78,14.274,apc
2000,4.2066464,9.41,0.4139,0.5661,0.0621,0.0454,5.426,0.73,13.727,apc
2000,4.4659296,9.99,0.4398,0.5771,0.0578,0.0441,5.263,0.68,13.17,apc
2000,4.7296832,10.58,0.4656,0.5845,0.0534,0.0425,5.08,0.628,12.598,apc
2000,4.9934368,11.17,0.4915,0.588,0.0489,0.0408,4.878,0.574,12.006,apc
2000,5.2571904,11.76,0.5174,0.5869,0.0442,0.039,4.657,0.52,11.385,apc
2000,5.520944,12.35,0.5433,0.5806,0.0395,0.037,4.416,0.465,10.727,apc
2000,5.7802272,12.93,0.5691,0.568,0.0347,0.0348,4.156,0.408,10.017,apc
2000,6.0439808,13.52,0.595,0.5476,0.0299,0.0325,3.877,0.351,9.237,apc
2000,6.307734399999999,14.11,0.6209,0.5173,0.025,0.03,3.578,0.293,8.362,apc
2000,6.5714879999999996,14.7,0.6467,0.4739,0.02,0.0273,3.261,0.235,7.355,apc
2000,6.8352416,15.29,0.6726,0.4125,0.015,0.0245,2.926,0.177,6.156,apc
2000,7.094524799999999,15.87,0.6985,0.3251,0.01,0.0215,2.573,0.118,4.672,apc
2000,7.3582784000000006,16.46,0.7243,0.1977,0.005,0.0185,2.204,0.059,2.739,apc
2000,7.622032,17.05,0.7502,0.0026,0.0001,0.0152,1.819,0.001,0.035,apc
3000,0,0,0,0,0.1087,0.0452,18.209,2.875,16.102,apc
3000,0,0,0,0,0.1087,0.0452,17.896800000000002,2.87355012,16.37279092445952,apc
3000,0.3978656,0.89,0.026,0.0608,0.1071,0.0457,18.434,2.832,15.666,apc
3000,0.7912608,1.77,0.052,0.1183,0.1053,0.0462,18.645,2.785,15.232,apc
3000,1.1891264000000001,2.66,0.0779,0.1724,0.1034,0.0467,18.837,2.734,14.803,apc
3000,1.5825216,3.54,0.1039,0.2233,0.1013,0.0471,19.004,2.68,14.378,apc
3000,1.9803871999999998,4.43,0.1299,0.271,0.0991,0.0475,19.142,2.62,13.959,apc
3000,2.3737823999999996,5.31,0.1559,0.3155,0.0966,0.0477,19.246,2.557,13.545,apc
3000,2.771648,6.2,0.1818,0.3571,0.0941,0.0479,19.31,2.488,13.139,apc
3000,3.1650432,7.08,0.2078,0.3956,0.0913,0.0479,19.33,2.415,12.738,apc
3000,3.5629087999999998,7.97,0.2338,0.4313,0.0883,0.0479,19.298,2.336,12.344,apc
3000,3.9607743999999996,8.86,0.2598,0.4642,0.0851,0.0476,19.21,2.252,11.956,apc
3000,4.3541696,9.74,0.2857,0.4943,0.0818,0.0473,19.061,2.163,11.573,apc
3000,4.7520352,10.63,0.3117,0.5216,0.0782,0.0467,18.847,2.069,11.195,apc
3000,5.1454303999999995,11.51,0.3377,0.5461,0.0745,0.046,18.564,1.97,10.821,apc
3000,5.543296,12.4,0.3637,0.5679,0.0705,0.0452,18.214,1.866,10.449,apc
3000,5.936691199999999,13.28,0.3897,0.5869,0.0665,0.0441,17.794,1.759,10.077,apc
3000,6.3345568,14.17,0.4156,0.6028,0.0623,0.0429,17.307,1.647,9.704,apc
3000,6.727952,15.05,0.4416,0.6156,0.0579,0.0416,16.752,1.532,9.327,apc
3000,7.1258175999999995,15.94,0.4676,0.625,0.0535,0.04,16.128,1.414,8.943,apc
3000,7.523683199999999,16.83,0.4936,0.6305,0.0489,0.0383,15.435,1.294,8.548,apc
3000,7.9170784,17.71,0.5195,0.6317,0.0443,0.0364,14.674,1.171,8.136,apc
3000,8.314944,18.6,0.5455,0.6279,0.0395,0.0343,13.844,1.046,7.701,apc
3000,8.7083392,19.48,0.5715,0.6178,0.0347,0.0321,12.945,0.918,7.234,apc
3000,9.1062048,20.37,0.5975,0.6,0.0298,0.0297,11.978,0.789,6.72,apc
3000,9.4996,21.25,0.6234,0.5722,0.0249,0.0271,10.943,0.659,6.141,apc
3000,9.8974656,22.14,0.6494,0.5305,0.0199,0.0244,9.842,0.528,5.466,apc
3000,10.2953312,23.03,0.6754,0.4691,0.015,0.0215,8.677,0.395,4.648,apc
3000,10.6887264,23.91,0.7014,0.3775,0.0099,0.0185,7.451,0.263,3.601,apc
3000,11.086592,24.8,0.7274,0.2355,0.005,0.0153,6.167,0.131,2.166,apc
3000,11.4799872,25.68,0.7533,-0.0024,0,0.012,4.823,-0.001,-0.021,apc
4000,0,0,0,0,0.109,0.0436,41.647,5.127,12.554,apc
4000,0,0,0,0,0.109,0.0436,41.7592,5.12879766,12.523990227267907,apc
4000,0.5275072,1.18,0.026,0.0633,0.1074,0.0442,42.201,5.051,12.204,apc
4000,1.0594848000000001,2.37,0.052,0.123,0.1056,0.0447,42.721,4.967,11.857,apc
4000,1.586992,3.55,0.0781,0.1791,0.1037,0.0452,43.195,4.877,11.514,apc
4000,2.1144992,4.73,0.1041,0.2318,0.1016,0.0456,43.612,4.78,11.176,apc
4000,2.6420064,5.91,0.1301,0.2811,0.0994,0.046,43.959,4.674,10.843,apc
4000,3.173984,7.1,0.1561,0.3271,0.097,0.0463,44.225,4.561,10.516,apc
4000,3.7014911999999995,8.28,0.1821,0.37,0.0944,0.0465,44.396,4.439,10.195,apc
4000,4.2289984,9.46,0.2082,0.4099,0.0916,0.0465,44.459,4.308,9.881,apc
4000,4.7565056000000006,10.64,0.2342,0.4467,0.0886,0.0465,44.401,4.168,9.573,apc
4000,5.2884832,11.83,0.2602,0.4806,0.0855,0.0463,44.208,4.019,9.27,apc
4000,5.8159904,13.01,0.2862,0.5118,0.0821,0.0459,43.867,3.86,8.973,apc
4000,6.3434976,14.19,0.3122,0.5401,0.0785,0.0454,43.369,3.692,8.681,apc
4000,6.8710048,15.37,0.3382,0.5657,0.0747,0.0447,42.707,3.515,8.393,apc
4000,7.402982399999999,16.56,0.3643,0.5886,0.0708,0.0438,41.88,3.33,8.108,apc
4000,7.9304896,17.74,0.3903,0.6086,0.0667,0.0428,40.888,3.138,7.826,apc
4000,8.4579968,18.92,0.4163,0.6258,0.0625,0.0416,39.73,2.939,7.543,apc
4000,8.9899744,20.11,0.4423,0.6398,0.0581,0.0402,38.406,2.734,7.259,apc
4000,9.5174816,21.29,0.4683,0.6506,0.0537,0.0386,36.916,2.524,6.972,apc
4000,10.044988799999999,22.47,0.4944,0.6578,0.0491,0.0369,35.26,2.309,6.677,apc
4000,10.572496,23.65,0.5204,0.6607,0.0444,0.035,33.436,2.089,6.372,apc
4000,11.1044736,24.84,0.5464,0.6588,0.0397,0.0329,31.444,1.866,6.051,apc
4000,11.6319808,26.02,0.5724,0.651,0.0348,0.0306,29.285,1.639,5.707,apc
4000,12.159488,27.2,0.5984,0.6356,0.03,0.0282,26.959,1.409,5.33,apc
4000,12.6869952,28.38,0.6245,0.6103,0.025,0.0256,24.468,1.177,4.904,apc
4000,13.2189728,29.57,0.6505,0.5711,0.02,0.0228,21.816,0.943,4.406,apc
4000,13.74648,30.75,0.6765,0.5115,0.015,0.0199,19.007,0.707,3.794,apc
4000,14.273987199999999,31.93,0.7025,0.4194,0.01,0.0168,16.049,0.472,2.996,apc
4000,14.805964799999998,33.12,0.7285,0.2701,0.005,0.0136,12.952,0.236,1.861,apc
4000,15.333471999999999,34.3,0.7546,0.0018,0,0.0102,9.704,0.001,0.012,apc
5000,0,0,0,0,0.1094,0.0426,79.52,8.038,10.307,apc
5000,0,0,0,0,0.1094,0.0426,79.7899,8.03793354,10.272492069268257,apc
5000,0.6616192,1.48,0.0261,0.065,0.1078,0.0432,80.633,7.918,10.014,apc
5000,1.3232384,2.96,0.0521,0.1263,0.106,0.0438,81.677,7.788,9.723,apc
5000,1.9848576000000002,4.44,0.0782,0.1839,0.1041,0.0443,82.632,7.647,9.437,apc
5000,2.6509471999999996,5.93,0.1043,0.2378,0.102,0.0447,83.475,7.495,9.155,apc
5000,3.3125664,7.41,0.1304,0.2883,0.0997,0.0451,84.181,7.33,8.879,apc
5000,3.9741856,8.89,0.1564,0.3354,0.0973,0.0454,84.726,7.152,8.608,apc
5000,4.6358048,10.37,0.1825,0.3792,0.0947,0.0456,85.084,6.961,8.343,apc
5000,5.2974239999999995,11.85,0.2086,0.4199,0.0919,0.0457,85.228,6.756,8.083,apc
5000,5.9590432,13.33,0.2346,0.4576,0.089,0.0456,85.132,6.536,7.829,apc
5000,6.6206624000000005,14.81,0.2607,0.4923,0.0858,0.0454,84.77,6.302,7.581,apc
5000,7.282281599999999,16.29,0.2868,0.5242,0.0824,0.0451,84.115,6.053,7.338,apc
5000,7.9483712,17.78,0.3129,0.5533,0.0788,0.0445,83.148,5.789,7.1,apc
5000,8.609990400000001,19.26,0.3389,0.5796,0.075,0.0439,81.857,5.511,6.866,apc
5000,9.2716096,20.74,0.365,0.6032,0.071,0.043,80.238,5.221,6.635,apc
