RPM,Velocity (m/s),Velocity (mph),J,Efficiency,Ct,Cp,Power (W),Thrust (N),Thrust/Power,Source
1000,0,0,0,0,0.1371,0.0764,1.14,0.403,36.038,apc
1000,0,0,0,0,0.1371,0.0764,1.4914,0.40478801999999997,27.676606330510516,apc
1000,0.1609344,0.36,0.0315,0.0551,0.1355,0.0774,1.155,0.398,35.161,apc
1000,0.3218688,0.72,0.063,0.1075,0.1337,0.0783,1.169,0.393,34.278,apc
1000,0.4783328,1.07,0.0945,0.1571,0.1318,0.0792,1.183,0.387,33.394,apc
1000,0.6392671999999999,1.43,0.1259,0.204,0.1296,0.08,1.195,0.381,32.512,apc
1000,0.8002016,1.79,0.1574,0.2481,0.1273,0.0808,1.206,0.374,31.633,apc
1000,0.961136,2.15,0.1889,0.2895,0.1247,0.0814,1.215,0.366,30.76,apc
1000,1.1176,2.5,0.2204,0.3282,0.1219,0.0818,1.222,0.358,29.894,apc
1000,1.2785343999999998,2.86,0.2519,0.3643,0.1188,0.0821,1.226,0.349,29.036,apc
1000,1.4394688,3.22,0.2834,0.3979,0.1154,0.0822,1.227,0.339,28.185,apc
1000,1.6004032,3.58,0.3148,0.4288,0.1118,0.0821,1.226,0.329,27.341,apc
1000,1.7613376,3.94,0.3463,0.4572,0.1079,0.0817,1.22,0.317,26.502,apc
1000,1.9178016,4.29,0.3778,0.4831,0.1037,0.0811,1.211,0.305,25.667,apc
1000,2.078736,4.65,0.4093,0.5063,0.0991,0.0801,1.197,0.291,24.832,apc
1000,2.2396704,5.01,0.4408,0.5269,0.0943,0.0789,1.178,0.277,23.995,apc
1000,2.4006048,5.37,0.4723,0.5446,0.0892,0.0773,1.154,0.262,23.149,apc
1000,2.5570687999999997,5.72,0.5037,0.5594,0.0837,0.0754,1.126,0.246,22.292,apc
1000,2.7180032,6.08,0.5352,0.571,0.0781,0.0732,1.093,0.23,21.415,apc
1000,2.8789376,6.44,0.5667,0.5791,0.0722,0.0707,1.056,0.212,20.511,apc
1000,3.039872,6.8,0.5982,0.5832,0.0662,0.0679,1.014,0.195,19.569,apc
1000,3.2008064,7.16,0.6297,0.5828,0.06,0.0649,0.968,0.176,18.577,apc
1000,3.3572704,7.51,0.6612,0.577,0.0537,0.0615,0.919,0.158,17.519,apc
1000,3.5182048,7.87,0.6927,0.5649,0.0473,0.0579,0.865,0.139,16.372,apc
1000,3.6791392000000003,8.23,0.7241,0.545,0.0407,0.0541,0.808,0.12,15.106,apc
1000,3.8400735999999998,8.59,0.7556,0.515,0.0341,0.05,0.747,0.1,13.68,apc
1000,3.9965376,8.94,0.7871,0.4718,0.0274,0.0457,0.682,0.08,12.033,apc
1000,4.157472,9.3,0.8186,0.4107,0.0206,0.0411,0.614,0.061,10.071,apc
1000,4.3184064,9.66,0.8501,0.3238,0.0138,0.0363,0.542,0.041,7.646,apc
1000,4.4793408,10.02,0.8816,0.198,0.007,0.0313,0.467,0.021,4.509,apc
1000,4.6402752000000005,10.38,0.913,0.0088,0.0003,0.0261,0.39,0.001,0.193,apc
2000,0,0,0,0,0.1378,0.0684,8.168,1.62,20.226,apc
2000,0,0,0,0,0.1378,0.0684,8.2027,1.6191520799999999,20.128440967644014,apc
2000,0.3218688,0.72,0.0318,0.0623,0.1362,0.0695,8.297,1.601,19.681,apc
2000,0.6437376,1.44,0.0635,0.1212,0.1345,0.0705,8.423,1.581,19.137,apc
2000,0.9700768,2.17,0.0953,0.1766,0.1325,0.0715,8.543,1.558,18.597,apc
2000,1.2919456,2.89,0.1271,0.2287,0.1304,0.0724,8.654,1.533,18.061,apc
2000,1.6138143999999999,3.61,0.1588,0.2775,0.128,0.0733,8.753,1.505,17.532,apc
2000,1.9356832,4.33,0.1906,0.3231,0.1254,0.074,8.838,1.474,17.012,apc
2000,2.257552,5.05,0.2224,0.3656,0.1226,0.0745,8.905,1.441,16.501,apc
2000,2.5838912,5.78,0.2542,0.4051,0.1195,0.0749,8.952,1.405,15.999,apc
2000,2.90576,6.5,0.2859,0.4418,0.1161,0.0751,8.975,1.365,15.506,apc
2000,3.2276287999999997,7.22,0.3177,0.4756,0.1124,0.0751,8.971,1.322,15.024,apc
2000,3.5494976,7.94,0.3495,0.5066,0.1085,0.0748,8.938,1.275,14.55,apc
2000,3.8713664,8.66,0.3812,0.5349,0.1042,0.0743,8.87,1.225,14.083,apc
2000,4.1977056,9.39,0.413,0.5606,0.0996,0.0734,8.766,1.171,13.623,apc
2000,4.5195744,10.11,0.4448,0.5836,0.0947,0.0722,8.622,1.113,13.168,apc
2000,4.8414432,10.83,0.4765,0.6038,0.0895,0.0706,8.437,1.052,12.716,apc
