RPM,Velocity (m/s),Velocity (mph),J,Efficiency,Ct,Cp,Power (W),Thrust (N),Thrust/Power,Source
1000,0,0,0,0,0.1044,0.0613,1.365,0.423,31.56,apc
1000,0,0,0,0,0.1044,0.0613,1.4914,0.42258090000000004,28.89316045492857,apc
1000,0.2145792,0.48,0.0393,0.0654,0.1041,0.0625,1.393,0.421,30.849,apc
1000,0.4336288,0.97,0.0786,0.1276,0.1037,0.0639,1.423,0.42,30.093,apc
1000,0.648208,1.45,0.1178,0.1863,0.1034,0.0654,1.456,0.418,29.301,apc
1000,0.8627872,1.93,0.1571,0.2415,0.1029,0.067,1.492,0.417,28.478,apc
1000,1.0818368,2.42,0.1964,0.2929,0.1024,0.0686,1.53,0.414,27.633,apc
1000,1.296416,2.9,0.2357,0.3405,0.1017,0.0704,1.569,0.412,26.773,apc
1000,1.5109952,3.38,0.2749,0.3844,0.1009,0.0722,1.608,0.409,25.906,apc
1000,1.7300448,3.87,0.3142,0.4246,0.0999,0.0739,1.647,0.405,25.041,apc
1000,1.944624,4.35,0.3535,0.4613,0.0987,0.0756,1.685,0.4,24.183,apc
1000,2.1636736,4.84,0.3928,0.4947,0.0971,0.0771,1.719,0.393,23.337,apc
1000,2.3782528000000003,5.32,0.432,0.5248,0.0953,0.0784,1.747,0.386,22.508,apc
1000,2.592832,5.8,0.4713,0.5519,0.0929,0.0794,1.768,0.376,21.698,apc
1000,2.8118816,6.29,0.5106,0.5761,0.0901,0.0799,1.78,0.365,20.906,apc
1000,3.0264607999999997,6.77,0.5499,0.5975,0.0868,0.0799,1.78,0.351,20.134,apc
1000,3.24104,7.25,0.5891,0.6161,0.0829,0.0793,1.766,0.336,19.378,apc
1000,3.4600896,7.74,0.6284,0.632,0.0785,0.078,1.739,0.318,18.633,apc
1000,3.6746688,8.22,0.6677,0.6448,0.0736,0.0762,1.699,0.298,17.894,apc
1000,3.889248,8.7,0.707,0.6544,0.0684,0.0739,1.647,0.277,17.15,apc
1000,4.108297599999999,9.19,0.7462,0.6602,0.0629,0.0711,1.584,0.255,16.392,apc
1000,4.3228767999999995,9.67,0.7855,0.6616,0.0571,0.0678,1.511,0.231,15.607,apc
1000,4.537456,10.15,0.8248,0.6579,0.0512,0.0641,1.429,0.207,14.78,apc
1000,4.7565056000000006,10.64,0.8641,0.6478,0.045,0.0601,1.339,0.182,13.892,apc
1000,4.9710848,11.12,0.9034,0.6297,0.0388,0.0557,1.24,0.157,12.915,apc
1000,5.185664,11.6,0.9426,0.6009,0.0324,0.0509,1.134,0.131,11.813,apc
1000,5.4047136,12.09,0.9819,0.5578,0.026,0.0458,1.021,0.105,10.526,apc
1000,5.6192928,12.57,1.0212,0.494,0.0195,0.0404,0.9,0.079,8.963,apc
1000,5.833872,13.05,1.0605,0.3986,0.0131,0.0347,0.774,0.053,6.964,apc
1000,6.0529215999999995,13.54,1.0997,0.2513,0.0066,0.0288,0.642,0.027,4.235,apc
1000,6.2675008,14.02,1.139,0.0087,0.0002,0.0227,0.506,0.001,0.142,apc
2000,0,0,0,0,0.1048,0.0544,9.703,1.698,17.845,apc
2000,0,0,0,0,0.1048,0.0544,9.6941,1.6992200400000002,17.87398752029589,apc
2000,0.44704,1,0.0404,0.0759,0.1046,0.0557,9.933,1.693,17.385,apc
2000,0.8896096,1.99,0.0808,0.1475,0.1043,0.0572,10.189,1.688,16.898,apc
2000,1.3366496,2.99,0.1213,0.2145,0.1039,0.0587,10.469,1.683,16.39,apc
2000,1.7792192,3.98,0.1617,0.2769,0.1035,0.0604,10.772,1.676,15.865,apc
2000,2.2262592000000003,4.98,0.2021,0.3344,0.103,0.0622,11.094,1.668,15.329,apc
2000,2.6688288,5.97,0.2425,0.3871,0.1023,0.0641,11.428,1.657,14.788,apc
2000,3.1158688,6.97,0.283,0.4351,0.1015,0.066,11.768,1.644,14.247,apc
2000,3.5584384,7.96,0.3234,0.4786,0.1005,0.0679,12.103,1.627,13.712,apc
2000,4.0054784,8.96,0.3638,0.5179,0.0992,0.0697,12.422,1.606,13.188,apc
2000,4.448048,9.95,0.4042,0.5531,0.0976,0.0713,12.711,1.58,12.676,apc
2000,4.895087999999999,10.95,0.4447,0.5846,0.0955,0.0727,12.952,1.547,12.181,apc
2000,5.3376576,11.94,0.4851,0.6127,0.093,0.0737,13.128,1.507,11.703,apc
2000,5.784697599999999,12.94,0.5255,0.6377,0.09,0.0741,13.216,1.457,11.242,apc
2000,6.2272672,13.93,0.5659,0.6597,0.0863,0.0741,13.2,1.398,10.8,apc
2000,6.674307199999999,14.93,0.6063,0.6789,0.0821,0.0733,13.069,1.33,10.374,apc
2000,7.1168768,15.92,0.6468,0.6954,0.0774,0.0719,12.824,1.253,9.961,apc
2000,7.5639168,16.92,0.6872,0.709,0.0722,0.07,12.469,1.169,9.558,apc
2000,8.0064864,17.91,0.7276,0.7194,0.0666,0.0674,12.015,1.079,9.16,apc
2000,8.4535264,18.91,0.768,0.7262,0.0608,0.0643,11.468,0.985,8.76,apc
2000,8.9005664,19.91,0.8085,0.7288,0.0548,0.0608,10.835,0.887,8.352,apc
2000,9.343136,20.9,0.8489,0.7263,0.0486,0.0568,10.122,0.787,7.927,apc
2000,9.790175999999999,21.9,0.8893,0.7173,0.0422,0.0524,9.334,0.684,7.473,apc
2000,10.2327456,22.89,0.9297,0.6997,0.0358,0.0475,8.472,0.579,6.973,apc
2000,10.6797856,23.89,0.9701,0.6702,0.0292,0.0423,7.543,0.473,6.4,apc
2000,11.1223552,24.88,1.0106,0.6228,0.0226,0.0367,6.549,0.367,5.71,apc
2000,11.569395199999999,25.88,1.051,0.5467,0.016,0.0308,5.495,0.26,4.819,apc
2000,12.0119648,26.87,1.0914,0.4189,0.0095,0.0246,4.388,0.153,3.556,apc
2000,12.4590048,27.87,1.1318,0.1825,0.0029,0.0182,3.236,0.047,1.494,apc
2000,12.9015744,28.86,1.1723,,,,,,,apc
3000,0,0,0,0,0.1051,0.0516,31.056,3.828,12.571,apc
3000,0,0,0,0,0.1051,0.0516,31.319400000000005,3.82991742,12.469679775284959,apc
3000,0.6571488,1.47,0.0398,0.0789,0.1048,0.0529,31.826,3.819,12.237,apc
3000,1.3142976,2.94,0.0796,0.1532,0.1045,0.0543,32.682,3.809,11.884,apc
3000,1.9714464,4.41,0.1194,0.2227,0.1042,0.0559,33.621,3.797,11.517,apc
3000,2.6285952,5.88,0.1592,0.2872,0.1038,0.0576,34.635,3.783,11.139,apc
3000,3.2857439999999998,7.35,0.199,0.3466,0.1034,0.0594,35.714,3.766,10.753,apc
3000,3.9428928,8.82,0.2389,0.4008,0.1028,0.0612,36.84,3.745,10.365,apc
3000,4.6000416,10.29,0.2787,0.4502,0.102,0.0631,37.989,3.717,9.978,apc
3000,5.2571904,11.76,0.3185,0.4948,0.1011,0.065,39.131,3.682,9.596,apc
3000,5.9143392,13.23,0.3583,0.535,0.0999,0.0669,40.23,3.638,9.222,apc
3000,6.5714879999999996,14.7,0.3981,0.571,0.0983,0.0686,41.239,3.583,8.859,apc
3000,7.2286368,16.17,0.4379,0.6032,0.0964,0.07,42.108,3.513,8.508,apc
3000,7.8857856,17.64,0.4777,0.632,0.0941,0.0711,42.774,3.428,8.171,apc
3000,8.5429344,19.11,0.5175,0.6576,0.0912,0.0718,43.171,3.322,7.848,apc
3000,9.2000832,20.58,0.5573,0.6803,0.0877,0.0719,43.235,3.197,7.539,apc
3000,9.857232,22.05,0.5971,0.7004,0.0837,0.0714,42.928,3.05,7.244,apc
3000,10.5143808,23.52,0.637,0.7179,0.0791,0.0702,42.24,2.884,6.961,apc
3000,11.1715296,24.99,0.6768,0.7329,0.0741,0.0685,41.186,2.701,6.688,apc
3000,11.8286784,26.46,0.7166,0.7451,0.0688,0.0661,39.79,2.506,6.422,apc
3000,12.4858272,27.93,0.7564,0.7543,0.0631,0.0633,38.077,2.3,6.159,apc
3000,13.142975999999999,29.4,0.7962,0.7601,0.0572,0.06,36.069,2.086,5.896,apc
3000,13.8045952,30.88,0.836,0.7617,0.0512,0.0562,33.784,1.864,5.627,apc
3000,14.461744000000001,32.35,0.8758,0.7583,0.045,0.0519,31.237,1.638,5.347,apc
3000,15.1188928,33.82,0.9156,0.7481,0.0386,0.0473,28.44,1.408,5.047,apc
3000,15.7760416,35.29,0.9554,0.7289,0.0322,0.0422,25.406,1.174,4.712,apc
3000,16.433190399999997,36.76,0.9952,0.6962,0.0258,0.0368,22.147,0.938,4.321,apc
3000,17.0903392,38.23,1.0351,0.6422,0.0193,0.0311,18.679,0.702,3.832,apc
3000,17.747488,39.7,1.0749,0.5504,0.0128,0.025,15.02,0.466,3.163,apc
3000,18.404636800000002,41.17,1.1147,0.3806,0.0064,0.0186,11.194,0.231,2.109,apc
3000,19.0617856,42.64,1.1545,-0.0004,0,0.012,7.218,0,-0.002,apc
4000,0,0,0,0,0.1052,0.0501,71.397,6.816,9.735,apc
4000,0,0,0,0,0.1052,0.0501,71.58720000000001,6.814673040000001,9.707088117752315,apc
4000,0.8806688,1.97,0.0399,0.0816,0.105,0.0514,73.236,6.801,9.47,apc
4000,1.7568672,3.93,0.0798,0.1583,0.1047,0.0528,75.28,6.784,9.189,apc
4000,2.6375360000000003,5.9,0.1197,0.23,0.1044,0.0544,77.524,6.764,8.897,apc
4000,3.5137344,7.86,0.1596,0.2963,0.1041,0.0561,79.953,6.741,8.597,apc
4000,4.3944032,9.83,0.1996,0.3572,0.1036,0.0579,82.541,6.711,8.291,apc
4000,5.270601599999999,11.79,0.2395,0.4127,0.103,0.0598,85.246,6.674,7.984,apc
4000,6.1512704,13.76,0.2794,0.4631,0.1023,0.0617,88.013,6.627,7.678,apc
4000,7.0274688,15.72,0.3193,0.5085,0.1014,0.0637,90.769,6.567,7.377,apc
4000,7.908137600000001,17.69,0.3592,0.5492,0.1002,0.0655,93.426,6.49,7.083,apc
