RPM,Velocity (m/s),Velocity (mph),J,Efficiency,Ct,Cp,Power (W),Thrust (N),Thrust/Power,Source
1000,0,0,0,0,0.1046,0.0381,1.231,0.57,47.205,apc
1000,0,0,0,0,0.1046,0.0381,1.4914,0.56937216,38.92973198137744,apc
1000,0.1028192,0.23,0.0175,0.0469,0.1022,0.0381,1.228,0.556,46.185,apc
1000,0.2056384,0.46,0.035,0.0917,0.0996,0.038,1.225,0.542,45.155,apc
1000,0.312928,0.7,0.0524,0.1344,0.097,0.0378,1.221,0.528,44.115,apc
1000,0.41574720000000004,0.93,0.0699,0.175,0.0942,0.0376,1.215,0.513,43.064,apc
1000,0.5185664,1.16,0.0874,0.2133,0.0914,0.0374,1.208,0.498,42.001,apc
1000,0.6213856,1.39,0.1049,0.2494,0.0885,0.0372,1.2,0.482,40.923,apc
1000,0.7242048,1.62,0.1223,0.2832,0.0854,0.0369,1.191,0.465,39.829,apc
1000,0.827024,1.85,0.1398,0.3146,0.0823,0.0366,1.18,0.448,38.715,apc
1000,0.9343136,2.09,0.1573,0.3435,0.0791,0.0362,1.168,0.431,37.579,apc
1000,1.0371328,2.32,0.1748,0.3699,0.0757,0.0358,1.155,0.412,36.417,apc
1000,1.1399519999999999,2.55,0.1922,0.3936,0.0723,0.0353,1.14,0.394,35.227,apc
1000,1.2427712,2.78,0.2097,0.4145,0.0688,0.0348,1.124,0.375,34.006,apc
1000,1.3455903999999999,3.01,0.2272,0.4324,0.0652,0.0343,1.106,0.355,32.748,apc
1000,1.4484096,3.24,0.2447,0.4472,0.0616,0.0337,1.087,0.335,31.451,apc
1000,1.5556992,3.48,0.2621,0.4587,0.0578,0.033,1.066,0.315,30.107,apc
1000,1.6585184,3.71,0.2796,0.4666,0.054,0.0324,1.044,0.294,28.711,apc
1000,1.7613376,3.94,0.2971,0.4706,0.0501,0.0316,1.02,0.273,27.255,apc
1000,1.8641568,4.17,0.3146,0.4704,0.0461,0.0308,0.995,0.251,25.731,apc
1000,1.966976,4.4,0.332,0.4656,0.0421,0.03,0.968,0.229,24.127,apc
1000,2.0697951999999997,4.63,0.3495,0.4557,0.0379,0.0291,0.939,0.207,22.433,apc
1000,2.1770848,4.87,0.367,0.4401,0.0338,0.0282,0.909,0.184,20.635,apc
1000,2.2799039999999997,5.1,0.3845,0.4183,0.0296,0.0272,0.877,0.161,18.719,apc
1000,2.3827232,5.33,0.4019,0.3894,0.0253,0.0261,0.843,0.138,16.667,apc
1000,2.4855424,5.56,0.4194,0.3525,0.0211,0.025,0.808,0.115,14.462,apc
1000,2.5883616,5.79,0.4369,0.3066,0.0168,0.0239,0.772,0.091,12.076,apc
1000,2.6911807999999997,6.02,0.4544,0.2501,0.0125,0.0227,0.734,0.068,9.471,apc
1000,2.7984704,6.26,0.4718,0.1811,0.0083,0.0215,0.695,0.045,6.603,apc
1000,2.9012896,6.49,0.4893,0.097,0.004,0.0203,0.654,0.022,3.411,apc
1000,3.0041088,6.72,0.5068,-0.0069,-0.0003,0.019,0.612,-0.001,-0.234,apc
2000,0,0,0,0,0.1048,0.0372,9.616,2.283,24.212,apc
2000,0,0,0,0,0.1048,0.0372,9.6941,2.28193686,24.00354868563296,apc
2000,0.2056384,0.46,0.0174,0.0481,0.1024,0.0372,9.595,2.23,23.696,apc
