RPM,Velocity (m/s),Velocity (mph),J,Efficiency,Ct,Cp,Power (W),Thrust (N),Thrust/Power,Source
1000,0,0,0,0,0.1805,0.1036,5.562,1.477,27.079,apc
1000,0,0,0,0,0.1805,0.1036,5.2199,1.47680904,28.849712093342212,apc
1000,0.2145792,0.48,0.0324,0.0552,0.1787,0.105,5.637,1.462,26.445,apc
1000,0.42468799999999995,0.95,0.0649,0.1077,0.1766,0.1063,5.709,1.445,25.807,apc
1000,0.6392671999999999,1.43,0.0973,0.1575,0.1743,0.1076,5.777,1.426,25.165,apc
1000,0.8493759999999999,1.9,0.1297,0.2047,0.1717,0.1088,5.84,1.405,24.524,apc
1000,1.0639551999999999,2.38,0.1621,0.2492,0.1688,0.1098,5.895,1.381,23.883,apc
1000,1.2785343999999998,2.86,0.1946,0.291,0.1655,0.1107,5.941,1.354,23.245,apc
1000,1.4886432,3.33,0.227,0.3303,0.162,0.1113,5.976,1.325,22.611,apc
1000,1.7032224,3.81,0.2594,0.367,0.158,0.1117,5.997,1.293,21.982,apc
1000,1.9133312,4.28,0.2918,0.4011,0.1536,0.1118,6.001,1.257,21.358,apc
1000,2.1279103999999998,4.76,0.3243,0.4327,0.1488,0.1115,5.988,1.218,20.738,apc
1000,2.3424896,5.24,0.3567,0.4619,0.1436,0.1109,5.954,1.175,20.124,apc
1000,2.5525984,5.71,0.3891,0.4886,0.138,0.1099,5.898,1.129,19.513,apc
1000,2.7671776,6.19,0.4216,0.5128,0.1319,0.1084,5.82,1.079,18.904,apc
1000,2.9772864,6.66,0.454,0.5344,0.1254,0.1065,5.719,1.026,18.294,apc
1000,3.1918656,7.14,0.4864,0.5533,0.1186,0.1043,5.597,0.97,17.679,apc
1000,3.4064448,7.62,0.5188,0.5694,0.1115,0.1016,5.454,0.912,17.054,apc
1000,3.6165536,8.09,0.5513,0.5823,0.1041,0.0985,5.29,0.852,16.415,apc
1000,3.8311328000000002,8.57,0.5837,0.5917,0.0964,0.0951,5.106,0.789,15.754,apc
1000,4.041241599999999,9.04,0.6161,0.5973,0.0885,0.0913,4.901,0.724,15.065,apc
1000,4.2558207999999995,9.52,0.6486,0.5983,0.0804,0.0871,4.676,0.658,14.337,apc
1000,4.4704,10,0.681,0.5941,0.072,0.0825,4.432,0.589,13.558,apc
1000,4.6805088,10.47,0.7134,0.5835,0.0635,0.0776,4.167,0.519,12.712,apc
1000,4.895087999999999,10.95,0.7458,0.565,0.0548,0.0723,3.882,0.448,11.773,apc
1000,5.1051968,11.42,0.7783,0.5363,0.0459,0.0666,3.578,0.376,10.709,apc
1000,5.319776,11.9,0.8107,0.494,0.0369,0.0606,3.254,0.302,9.47,apc
1000,5.5343552,12.38,0.8431,0.4327,0.0278,0.0542,2.91,0.228,7.976,apc
1000,5.744464,12.85,0.8755,0.3436,0.0186,0.0475,2.549,0.152,6.099,apc
1000,5.9590432,13.33,0.908,0.2109,0.0094,0.0404,2.17,0.077,3.61,apc
1000,6.169152,13.8,0.9404,0.0035,0.0001,0.033,1.774,0.001,0.058,apc
2000,0,0,0,0,0.1816,0.0937,40.25,5.943,15.055,apc
2000,0,0,0,0,0.1816,0.0937,40.2678,5.94282192,15.04922509465285,apc
2000,0.4291584,0.96,0.0327,0.0617,0.1798,0.0952,40.896,5.883,14.668,apc
2000,0.8583168,1.92,0.0654,0.1202,0.1777,0.0967,41.526,5.816,14.281,apc
2000,1.2874752,2.88,0.0981,0.1754,0.1754,0.0981,42.127,5.74,13.894,apc
2000,1.7166336,3.84,0.1308,0.2274,0.1728,0.0994,42.686,5.655,13.509,apc
2000,2.1457919999999997,4.8,0.1635,0.2763,0.1699,0.1006,43.187,5.56,13.129,apc
2000,2.5749504,5.76,0.1962,0.322,0.1667,0.1015,43.613,5.454,12.753,apc
2000,3.0041088,6.72,0.2289,0.3648,0.1631,0.1023,43.948,5.337,12.383,apc
2000,3.4332672,7.68,0.2616,0.4047,0.1591,0.1028,44.172,5.206,12.019,apc
2000,3.8624256000000003,8.64,0.2943,0.4417,0.1547,0.1031,44.266,5.062,11.662,apc
2000,4.291583999999999,9.6,0.327,0.476,0.1498,0.1029,44.21,4.904,11.311,apc
2000,4.7207424,10.56,0.3597,0.5077,0.1445,0.1024,43.985,4.731,10.967,apc
2000,5.1499008,11.52,0.3924,0.5369,0.1388,0.1015,43.577,4.543,10.63,apc
2000,5.5790592,12.48,0.4251,0.5635,0.1326,0.1001,42.984,4.341,10.299,apc
2000,6.0082176,13.44,0.4578,0.5875,0.1261,0.0983,42.203,4.127,9.971,apc
