RPM,Velocity (m/s),Velocity (mph),J,Efficiency,Ct,Cp,Power (W),Thrust (N),Thrust/Power,Source
1000,0,0,0,0,0.0885,0.0348,6.688,2.006,30.59,apc
1000,0,0,0,0,0.0885,0.0348,6.7113,2.00614722,30.481439450696566,apc
1000,0.201168,0.45,0.0238,0.0587,0.0871,0.0352,6.767,1.976,29.771,apc
1000,0.402336,0.9,0.0475,0.1142,0.0856,0.0356,6.841,1.942,28.953,apc
1000,0.603504,1.35,0.0713,0.1665,0.0841,0.036,6.91,1.907,28.139,apc
1000,0.804672,1.8,0.095,0.2156,0.0824,0.0363,6.97,1.868,27.33,apc
1000,1.00584,2.25,0.1188,0.2616,0.0805,0.0366,7.02,1.826,26.528,apc
1000,1.207008,2.7,0.1425,0.3045,0.0786,0.0368,7.059,1.782,25.734,apc
1000,1.4081759999999999,3.15,0.1663,0.3444,0.0764,0.0369,7.085,1.733,24.949,apc
1000,1.609344,3.6,0.19,0.3814,0.0742,0.0369,7.094,1.682,24.173,apc
1000,1.810512,4.05,0.2138,0.4154,0.0717,0.0369,7.086,1.627,23.405,apc
1000,2.01168,4.5,0.2375,0.4466,0.0691,0.0368,7.059,1.568,22.646,apc
1000,2.212848,4.95,0.2613,0.475,0.0664,0.0365,7.01,1.505,21.893,apc
1000,2.414016,5.4,0.285,0.5005,0.0634,0.0361,6.939,1.439,21.146,apc
1000,2.6151839999999997,5.85,0.3088,0.5231,0.0604,0.0356,6.844,1.369,20.403,apc
1000,2.8163519999999997,6.3,0.3325,0.5429,0.0572,0.035,6.727,1.297,19.661,apc
1000,3.0175199999999998,6.75,0.3563,0.5596,0.0539,0.0343,6.587,1.222,18.916,apc
1000,3.218688,7.2,0.3801,0.5732,0.0505,0.0335,6.424,1.144,18.165,apc
1000,3.4198560000000002,7.65,0.4038,0.5834,0.0469,0.0325,6.237,1.064,17.401,apc
1000,3.621024,8.1,0.4276,0.59,0.0433,0.0314,6.026,0.982,16.621,apc
1000,3.8221920000000003,8.55,0.4513,0.5926,0.0396,0.0302,5.792,0.898,15.814,apc
1000,4.02336,9,0.4751,0.5906,0.0358,0.0288,5.534,0.813,14.973,apc
1000,4.224527999999999,9.45,0.4988,0.5833,0.032,0.0273,5.252,0.725,14.083,apc
1000,4.425696,9.9,0.5226,0.5696,0.0281,0.0258,4.945,0.637,13.127,apc
1000,4.626863999999999,10.35,0.5463,0.548,0.0241,0.024,4.615,0.547,12.082,apc
1000,4.828032,10.8,0.5701,0.5165,0.0201,0.0222,4.261,0.456,10.913,apc
1000,5.0292,11.25,0.5938,0.4719,0.0161,0.0202,3.884,0.365,9.571,apc
1000,5.2303679999999995,11.7,0.6176,0.4092,0.012,0.0182,3.485,0.273,7.98,apc
1000,5.431536,12.15,0.6413,0.3204,0.008,0.016,3.065,0.181,6.016,apc
1000,5.6327039999999995,12.6,0.6651,0.1915,0.0039,0.0137,2.625,0.089,3.468,apc
1000,5.833872,13.05,0.6888,-0.0049,-0.0001,0.0113,2.166,-0.002,-0.085,apc
2000,0,0,0,0,0.0889,0.0314,48.27,8.064,17.036,apc
2000,0,0,0,0,0.0889,0.0314,48.4705,8.06462286,16.96625098130704,apc
2000,0.402336,0.9,0.0239,0.0656,0.0875,0.0319,48.964,7.942,16.541,apc
2000,0.8091424,1.81,0.0477,0.1272,0.0861,0.0323,49.622,7.81,16.05,apc
2000,1.2114784,2.71,0.0716,0.1851,0.0845,0.0327,50.229,7.667,15.565,apc
2000,1.6182848,3.62,0.0955,0.2392,0.0828,0.0331,50.773,7.512,15.087,apc
2000,2.0206207999999997,4.52,0.1193,0.2897,0.081,0.0334,51.239,7.345,14.617,apc
2000,2.4229568,5.42,0.1432,0.3367,0.079,0.0336,51.612,7.165,14.156,apc
2000,2.8297632,6.33,0.1671,0.3802,0.0768,0.0338,51.873,6.972,13.704,apc
2000,3.2320992,7.23,0.191,0.4205,0.0746,0.0339,52.007,6.764,13.262,apc
2000,3.6389056,8.14,0.2148,0.4577,0.0721,0.0338,51.996,6.542,12.829,apc
2000,4.041241599999999,9.04,0.2387,0.4917,0.0695,0.0337,51.822,6.304,12.405,apc
2000,4.448048,9.95,0.2626,0.5227,0.0667,0.0335,51.472,6.052,11.989,apc
2000,4.850384,10.85,0.2864,0.5509,0.0638,0.0332,50.937,5.785,11.582,apc
2000,5.25272,11.75,0.3103,0.5761,0.0607,0.0327,50.211,5.506,11.181,apc
2000,5.6595264,12.66,0.3342,0.5985,0.0575,0.0321,49.293,5.214,10.786,apc
2000,6.0618624,13.56,0.358,0.618,0.0541,0.0314,48.179,4.911,10.394,apc
2000,6.4686688000000006,14.47,0.3819,0.6344,0.0507,0.0305,46.867,4.598,10.004,apc
2000,6.8710048,15.37,0.4058,0.6477,0.0471,0.0295,45.356,4.276,9.613,apc
2000,7.2733408,16.27,0.4297,0.6576,0.0435,0.0284,43.643,3.945,9.217,apc
2000,7.6801471999999995,17.18,0.4535,0.6638,0.0398,0.0272,41.726,3.607,8.814,apc
2000,8.082483199999999,18.08,0.4774,0.6658,0.036,0.0258,39.605,3.262,8.398,apc
2000,8.4892896,18.99,0.5013,0.6628,0.0321,0.0243,37.276,2.911,7.962,apc
2000,8.8916256,19.89,0.5251,0.6538,0.0282,0.0226,34.741,2.554,7.497,apc
2000,9.298432,20.8,0.549,0.6372,0.0242,0.0208,32.001,2.193,6.989,apc
2000,9.700768,21.7,0.5729,0.6105,0.0202,0.0189,29.058,1.829,6.418,apc
2000,10.103104,22.6,0.5967,0.57,0.0161,0.0169,25.917,1.462,5.752,apc
2000,10.5099104,23.51,0.6206,0.5089,0.0121,0.0147,22.585,1.094,4.938,apc
2000,10.912246399999999,24.41,0.6445,0.4152,0.008,0.0124,19.074,0.726,3.88,apc
2000,11.3190528,25.32,0.6683,0.2643,0.004,0.01,15.395,0.36,2.381,apc
2000,11.7213888,26.22,0.6922,-0.0058,-0.0001,0.0075,11.539,-0.006,-0.051,apc
3000,0,0,0,0,0.0894,0.0301,156.215,18.24,11.906,apc
3000,0,0,0,0,0.0894,0.0301,155.8513,18.24215022,11.93561833549857,apc
3000,0.6079744,1.36,0.0239,0.0688,0.088,0.0306,158.656,17.966,11.547,apc
3000,1.2159488,2.72,0.0478,0.1334,0.0866,0.031,160.974,17.668,11.192,apc
3000,1.8239232,4.08,0.0718,0.1939,0.085,0.0315,163.123,17.346,10.843,apc
3000,2.4318976,5.44,0.0957,0.2503,0.0833,0.0318,165.056,16.997,10.501,apc
3000,3.039872,6.8,0.1196,0.3029,0.0814,0.0322,166.723,16.62,10.165,apc
3000,3.6478464,8.16,0.1435,0.3518,0.0794,0.0324,168.07,16.214,9.838,apc
3000,4.2558207999999995,9.52,0.1675,0.397,0.0773,0.0326,169.039,15.777,9.518,apc
3000,4.8593247999999996,10.87,0.1914,0.4389,0.075,0.0327,169.57,15.308,9.206,apc
3000,5.4672992,12.23,0.2153,0.4774,0.0725,0.0327,169.601,14.805,8.902,apc
3000,6.0752736,13.59,0.2392,0.5128,0.0699,0.0326,169.073,14.268,8.606,apc
3000,6.683248,14.95,0.2632,0.5452,0.0671,0.0324,167.939,13.697,8.317,apc
3000,7.2912224,16.31,0.2871,0.5746,0.0641,0.032,166.166,13.094,8.035,apc
3000,7.8991968,17.67,0.311,0.6012,0.061,0.0316,163.736,12.46,7.76,apc
3000,8.5071712,19.03,0.3349,0.6249,0.0578,0.031,160.635,11.799,7.49,apc
3000,9.1151456,20.39,0.3589,0.6458,0.0544,0.0303,156.857,11.113,7.224,apc
3000,9.72312,21.75,0.3828,0.6638,0.051,0.0294,152.393,10.404,6.961,apc
3000,10.3310944,23.11,0.4067,0.6788,0.0474,0.0284,147.233,9.674,6.7,apc
3000,10.9390688,24.47,0.4306,0.6905,0.0437,0.0273,141.371,8.925,6.437,apc
3000,11.5470432,25.83,0.4546,0.6988,0.04,0.026,134.8,8.159,6.172,apc
3000,12.1550176,27.19,0.4785,0.7032,0.0361,0.0246,127.512,7.377,5.9,apc
3000,12.762992,28.55,0.5024,0.7029,0.0322,0.023,119.504,6.582,5.616,apc
3000,13.3709664,29.91,0.5263,0.697,0.0283,0.0214,110.775,5.775,5.316,apc
3000,13.9789408,31.27,0.5503,0.6839,0.0243,0.0195,101.329,4.958,4.989,apc
3000,14.5824448,32.62,0.5742,0.6611,0.0202,0.0176,91.176,4.133,4.622,apc
3000,15.1904192,33.98,0.5981,0.6246,0.0162,0.0155,80.332,3.303,4.192,apc
3000,15.7983936,35.34,0.622,0.567,0.0121,0.0133,68.825,2.47,3.659,apc
3000,16.406368,36.7,0.646,0.4739,0.008,0.0109,56.692,1.638,2.946,apc
3000,17.0143424,38.06,0.6699,0.3133,0.004,0.0085,43.98,0.81,1.878,apc
3000,17.6223168,39.42,0.6938,-0.0104,-0.0001,0.0059,30.602,-0.018,-0.06,apc
4000,0,0,0,0,0.0899,0.0295,363.016,32.639,9.168,apc
4000,0,0,0,0,0.0899,0.0295,363.15590000000003,32.64103836,9.16537388601603,apc
4000,0.8136128,1.82,0.024,0.0707,0.0886,0.03,368.978,32.153,8.886,apc
4000,1.6227551999999998,3.63,0.0479,0.1371,0.0871,0.0305,374.646,31.625,8.608,apc
4000,2.436368,5.45,0.0719,0.1991,0.0856,0.0309,379.907,31.051,8.335,apc
4000,3.2455103999999997,7.26,0.0959,0.2569,0.0839,0.0313,384.649,30.43,8.067,apc
4000,4.0591232,9.08,0.1199,0.3107,0.082,0.0316,388.751,29.759,7.806,apc
4000,4.872736,10.9,0.1438,0.3607,0.08,0.0319,392.081,29.034,7.551,apc
4000,5.6818784,12.71,0.1678,0.407,0.0779,0.0321,394.499,28.254,7.303,apc
4000,6.4954912,14.53,0.1918,0.4498,0.0755,0.0322,395.86,27.416,7.062,apc
4000,7.3046336,16.34,0.2158,0.4893,0.0731,0.0322,396.014,26.516,6.828,apc
4000,8.1182464,18.16,0.2397,0.5255,0.0704,0.0321,394.819,25.555,6.6,apc
4000,8.9318592,19.98,0.2637,0.5587,0.0676,0.0319,392.157,24.532,6.379,apc
4000,9.741001599999999,21.79,0.2877,0.5889,0.0646,0.0316,387.95,23.451,6.164,apc
4000,10.5546144,23.61,0.3116,0.6163,0.0615,0.0311,382.15,22.316,5.955,apc
4000,11.3682272,25.43,0.3356,0.6409,0.0582,0.0305,374.727,21.13,5.75,apc
4000,12.177369599999999,27.24,0.3596,0.6627,0.0548,0.0298,365.66,19.9,5.549,apc
4000,12.9909824,29.06,0.3836,0.6818,0.0513,0.0289,354.927,18.628,5.352,apc
4000,13.8001248,30.87,0.4075,0.6979,0.0477,0.0279,342.508,17.319,5.156,apc
4000,14.613737599999999,32.69,0.4315,0.7109,0.044,0.0267,328.383,15.976,4.961,apc
4000,15.427350399999998,34.51,0.4555,0.7207,0.0402,0.0254,312.534,14.602,4.764,apc
