payload_kg,distance_km,best_n_drones,best_fleet_Wh_per_km,feasible,reason
0.0,2.0,2,42.99725434173732,True,
0.0,4.0,2,42.99725434173732,True,
0.0,6.0,2,42.99725434173732,True,
0.0,8.0,2,42.99725434173732,True,
0.0,10.0,2,42.99725434173732,True,
0.0,12.0,2,42.99725434173732,True,
0.0,14.0,2,42.99725434173732,True,
0.0,16.0,2,42.99725434173732,True,
0.0,18.0,2,42.99725434173732,True,
0.0,20.0,3,46.352535465475576,True,
0.0,22.0,3,46.352535465475576,True,
0.0,24.0,3,46.352535465475576,True,
0.0,26.0,3,46.352535465475576,True,
0.0,28.0,4,49.70781658921383,True,
0.0,30.0,4,49.70781658921383,True,
0.0,32.0,4,49.70781658921383,True,
0.0,34.0,5,53.06309771295207,True,
0.0,36.0,5,53.06309771295207,True,
0.0,38.0,5,53.06309771295207,True,
0.0,40.0,6,56.41837883669031,True,
5.0,2.0,2,43.82085137283531,True,
5.0,4.0,2,43.82085137283531,True,
5.0,6.0,2,43.82085137283531,True,
5.0,8.0,2,43.82085137283531,True,
5.0,10.0,2,43.82085137283531,True,
5.0,12.0,2,43.82085137283531,True,
5.0,14.0,2,43.82085137283531,True,
5.0,16.0,2,43.82085137283531,True,
5.0,18.0,2,43.82085137283531,True,
5.0,20.0,3,47.14534960492421,True,
5.0,22.0,3,47.14534960492421,True,
5.0,24.0,3,47.14534960492421,True,
5.0,26.0,3,47.14534960492421,True,
5.0,28.0,4,50.48523928283781,True,
5.0,30.0,4,50.48523928283781,True,
5.0,32.0,4,50.48523928283781,True,
5.0,34.0,5,53.83128553908126,True,
5.0,36.0,5,53.83128553908126,True,
5.0,38.0,5,53.83128553908126,True,
5.0,40.0,6,57.18041008448963,True,
10.0,2.0,2,44.82914575382934,True,
10.0,4.0,2,44.82914575382934,True,
10.0,6.0,2,44.82914575382934,True,
10.0,8.0,2,44.82914575382934,True,
10.0,10.0,2,44.82914575382934,True,
10.0,12.0,2,44.82914575382934,True,
10.0,14.0,2,44.82914575382934,True,
10.0,16.0,2,44.82914575382934,True,
10.0,18.0,2,44.82914575382934,True,
10.0,20.0,3,48.06129531097023,True,
10.0,22.0,3,48.06129531097023,True,
10.0,24.0,3,48.06129531097023,True,
10.0,26.0,3,48.06129531097023,True,
10.0,28.0,4,51.3550106514098,True,
10.0,30.0,4,51.3550106514098,True,
10.0,32.0,4,51.3550106514098,True,
10.0,34.0,5,54.67335230516885,True,
10.0,36.0,5,54.67335230516885,True,
10.0,38.0,5,54.67335230516885,True,
10.0,40.0,6,58.00400711558762,True,
15.0,2.0,2,46.022137484719416,True,
15.0,4.0,2,46.022137484719416,True,
15.0,6.0,2,46.022137484719416,True,
15.0,8.0,2,46.022137484719416,True,
15.0,10.0,2,46.022137484719416,True,
15.0,12.0,2,46.022137484719416,True,
15.0,14.0,2,46.022137484719416,True,
15.0,16.0,2,46.022137484719416,True,
15.0,18.0,2,46.022137484719416,True,
15.0,20.0,3,49.1003725836136,True,
15.0,22.0,3,49.1003725836136,True,
15.0,24.0,3,49.1003725836136,True,
15.0,26.0,4,52.31713069492982,True,
15.0,28.0,4,52.31713069492982,True,
15.0,30.0,4,52.31713069492982,True,
15.0,32.0,4,52.31713069492982,True,
15.0,34.0,5,55.58929801121485,True,
15.0,36.0,5,55.58929801121485,True,
15.0,38.0,6,58.88916992998429,True,
15.0,40.0,6,58.88916992998429,True,
20.0,2.0,2,47.39982656550552,True,
20.0,4.0,2,47.39982656550552,True,
20.0,6.0,2,47.39982656550552,True,
20.0,8.0,2,47.39982656550552,True,
20.0,10.0,2,47.39982656550552,True,
20.0,12.0,2,47.39982656550552,True,
20.0,14.0,2,47.39982656550552,True,
20.0,16.0,2,47.39982656550552,True,
20.0,18.0,3,50.262581422854325,True,
20.0,20.0,3,50.262581422854325,True,
20.0,22.0,3,50.262581422854325,True,
20.0,24.0,3,50.262581422854325,True,
20.0,26.0,4,53.37159941339787,True,
20.0,28.0,4,53.37159941339787,True,
20.0,30.0,4,53.37159941339787,True,
20.0,32.0,5,56.57912265721928,True,
20.0,34.0,5,56.57912265721928,True,
20.0,36.0,5,56.57912265721928,True,
